apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,proximo_adversario,proxima_em_casa
Everton,Meia,flamengo,6,Nulo,22.11,-1.02,0.20,3.27,9,20,0,0,3,3,2,11,0,10,11,0,3,0,0,0,0,0,flamengo,False
Lucas Pratto,Atacante,atlético-mg,5,Provável,21.94,0.00,0.00,5.46,4,12,1,2,6,5,1,1,0,2,7,0,0,0,0,0,0,0,atlético-mg,True
Marcelo Lomba,Goleiro,ponte preta,7,Provável,21.17,2.68,14.00,8.41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,7,ponte preta,True
Cássio,Goleiro,corinthians,7,Provável,20.78,-0.44,1.20,5.34,1,7,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,6,corinthians,True
Rodrigo,Zagueiro,vasco,7,Provável,20.59,1.19,7.90,4.93,7,26,0,0,6,2,1,0,0,12,6,0,2,0,2,0,0,0,vasco,True
Marlon,Zagueiro,fluminense,1,Nulo,20.33,0.00,0.00,11.70,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,fluminense,False
Vitor Hugo,Zagueiro,palmeiras,7,Provável,19.36,1.33,6.30,7.00,5,13,0,1,2,4,2,0,0,13,12,0,0,0,2,0,0,0,palmeiras,True
Gil,Zagueiro,corinthians,6,Provável,19.26,-2.14,-0.90,3.40,2,6,0,1,1,1,0,1,0,5,6,0,2,0,3,0,0,0,corinthians,True
Geuvânio,Atacante,santos,6,Provável,19.24,0.00,0.00,5.08,10,15,0,0,4,8,2,1,0,7,10,0,1,0,0,0,0,0,santos,False
Élber,Meia,sport,4,Contundido,19.12,0.00,0.00,5.57,11,9,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,sport,False
Aránguiz,Meia,internacional,0,Nulo,19.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,internacional,True
Rafael Marques,Atacante,palmeiras,6,Provável,18.78,2.01,10.30,5.17,9,23,0,0,5,5,3,1,0,2,4,0,0,0,0,0,0,0,palmeiras,True
Jadson,Meia,corinthians,6,Provável,18.73,0.46,8.60,5.05,5,34,1,0,6,3,2,1,0,7,1,0,1,0,0,0,0,0,corinthians,True
Souza,Meia,são paulo,6,Provável,18.51,1.91,9.40,4.22,5,8,0,0,1,3,1,1,0,13,11,0,1,0,0,0,0,0,são paulo,False
Martín Silva,Goleiro,vasco,4,Nulo,18.51,0.00,0.00,4.47,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,4,vasco,True
Rafhael Lucas,Atacante,coritiba,7,Dúvida,18.46,-0.63,-0.80,2.23,6,10,0,0,4,5,1,4,0,3,6,0,0,0,0,0,0,0,coritiba,True
Marcelo Grohe,Goleiro,grêmio,4,Nulo,18.29,0.00,0.00,1.50,1,5,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,6,grêmio,False
Dátolo,Meia,atlético-mg,4,Nulo,18.11,0.00,0.00,5.43,2,11,0,1,2,3,2,0,0,2,6,0,0,0,0,0,0,0,atlético-mg,True
Ricardo Oliveira,Atacante,santos,6,Provável,18.07,0.00,0.00,3.63,4,10,0,1,3,7,3,7,1,2,10,0,2,0,0,0,0,0,santos,False
Nilmar,Atacante,internacional,4,Nulo,17.94,0.77,10.00,7.50,8,8,0,0,0,3,3,1,0,4,4,0,1,0,0,0,0,0,internacional,True
Arrascaeta,Meia,cruzeiro,2,Nulo,17.77,0.00,0.00,2.35,3,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,cruzeiro,False
Walter,Atacante,atlético-pr,6,Provável,17.43,-0.97,-0.60,2.53,6,32,2,0,6,10,1,6,0,4,12,0,1,1,0,0,0,0,atlético-pr,False
Willian,Atacante,cruzeiro,6,Provável,17.28,0.67,8.00,3.70,12,18,1,0,4,6,0,4,0,12,12,0,2,0,0,0,0,0,cruzeiro,False
Rildo,Atacante,ponte preta,2,Nulo,17.24,0.00,0.00,4.95,7,5,0,0,2,1,1,1,0,1,4,0,1,0,0,0,0,0,ponte preta,True
Natanael,Lateral,atlético-pr,6,Provável,16.92,0.00,0.00,5.17,4,22,0,0,0,2,0,0,0,11,5,0,1,0,4,0,0,0,atlético-pr,False
Yuri Mamute,Atacante,grêmio,7,Provável,16.82,-0.67,-0.30,2.64,17,18,0,0,2,3,2,4,0,4,11,0,2,0,0,0,0,0,grêmio,False
Jemerson,Zagueiro,atlético-mg,5,Provável,16.68,0.00,0.00,4.90,2,3,0,0,1,1,2,0,0,6,5,1,0,0,1,0,0,0,atlético-mg,True
Luis Fabiano,Atacante,são paulo,7,Suspenso,16.63,-0.82,0.80,2.04,4,13,1,1,2,6,2,3,0,0,14,0,3,0,0,0,0,0,são paulo,False
Guiñazu,Meia,vasco,6,Nulo,16.34,-0.05,5.40,3.40,12,8,0,0,0,1,0,0,0,18,17,0,3,0,0,0,0,0,vasco,True
Fernando Bob,Meia,ponte preta,7,Provável,16.28,1.17,7.50,4.20,9,19,0,0,0,2,0,0,0,26,26,0,1,0,0,0,0,0,ponte preta,True
Tite,Técnico,corinthians,7,Provável,16.09,-0.21,3.08,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,corinthians,True
Marcos Rocha,Lateral,atlético-mg,0,Contundido,16.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlético-mg,True
Oliveira,Goleiro,joinville,6,Nulo,15.92,0.00,0.00,3.55,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,9,joinville,False
Giuliano,Meia,grêmio,7,Contundido,15.80,1.10,6.00,6.06,5,18,2,0,2,2,3,1,0,7,7,0,0,0,0,0,0,0,grêmio,False
Ganso,Meia,são paulo,5,Provável,15.32,0.00,0.00,2.58,8,16,1,0,1,3,0,0,0,8,8,0,2,0,0,0,0,0,são paulo,False
Luan,Zagueiro,vasco,7,Provável,15.25,-0.60,-1.20,2.51,10,26,0,0,1,2,0,0,0,10,10,0,2,0,2,0,0,0,vasco,True
Marquinhos,Meia,avaí,5,Provável,15.23,-1.60,-0.90,2.24,11,40,1,1,1,3,1,0,0,3,6,0,2,0,0,0,0,0,avaí,True
Wallace,Zagueiro,flamengo,7,Provável,15.14,2.19,10.90,3.79,8,20,0,0,3,3,0,0,0,12,10,0,1,0,2,0,0,0,flamengo,False
Dória,Zagueiro,são paulo,7,Provável,15.02,0.18,4.20,4.40,3,14,0,0,1,2,1,0,0,3,4,0,0,0,4,0,0,0,são paulo,False
Eduardo Sasha,Atacante,internacional,0,Contundido,15.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,internacional,True
Rithely,Meia,sport,7,Provável,14.96,0.76,6.30,4.63,4,24,2,0,1,3,0,1,0,20,14,0,1,0,0,0,0,0,sport,False
Marcos Guilherme ,Meia,atlético-pr,1,Nulo,14.95,0.00,0.00,5.90,3,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,atlético-pr,False
Jean,Meia,fluminense,7,Provável,14.82,0.66,3.80,1.57,2,26,0,0,4,2,1,0,0,7,11,0,1,0,0,0,0,0,fluminense,False
Gilson,Lateral,ponte preta,6,Provável,14.77,1.99,7.70,4.63,10,17,0,0,1,1,0,2,0,11,9,0,1,0,3,0,0,0,ponte preta,True
Cleiton Xavier,Meia,palmeiras,3,Nulo,14.68,0.54,3.30,1.17,2,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,palmeiras,True
Vitinho,Atacante,internacional,7,Nulo,14.58,-1.57,-0.90,2.91,4,16,0,0,1,5,2,1,0,6,6,0,2,0,0,0,0,0,internacional,True
Giovanni,Lateral,fluminense,6,Provável,14.52,-1.18,1.80,3.80,3,18,0,0,2,2,0,0,0,9,4,0,0,1,3,0,0,0,fluminense,False
Levir Culpi,Técnico,atlético-mg,6,Provável,14.50,0.00,0.00,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlético-mg,True
Michel Bastos,Meia,são paulo,5,Provável,14.42,-0.72,-0.30,3.72,1,22,0,0,0,5,2,2,0,6,4,0,1,0,0,0,0,0,são paulo,False
Diego Cavalieri,Goleiro,fluminense,7,Provável,14.41,0.91,8.70,4.59,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,11,0,8,fluminense,False
Wellington Silva,Lateral,fluminense,5,Contundido,14.30,0.00,0.00,3.76,4,12,0,0,0,2,0,0,0,5,5,0,1,0,3,0,0,0,fluminense,False
Edílson,Lateral,corinthians,4,Nulo,14.28,0.00,0.00,4.67,5,8,1,0,0,0,0,0,0,3,5,0,2,0,3,0,0,0,corinthians,True
Valdivia,Meia,palmeiras,4,Nulo,14.07,0.00,0.00,2.05,14,23,0,0,3,3,0,2,0,5,1,0,2,0,0,0,0,0,palmeiras,True
Guilherme,Meia,atlético-mg,1,Nulo,13.97,0.00,0.00,0.40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,atlético-mg,True
Gum,Zagueiro,fluminense,7,Suspenso,13.91,-3.20,-7.00,2.81,3,18,0,0,2,2,0,0,0,6,6,0,1,1,4,0,0,0,fluminense,False
Leonardo Silva,Zagueiro,atlético-mg,5,Provável,13.80,0.00,0.00,4.64,5,11,1,0,0,2,0,1,0,13,10,0,2,0,1,0,0,0,atlético-mg,True
Alecsandro,Atacante,palmeiras,5,Provável,13.73,0.81,4.10,2.88,6,10,1,0,3,6,1,4,0,1,7,0,1,0,0,0,0,0,palmeiras,True
Dudu,Atacante,palmeiras,5,Provável,13.72,0.08,4.80,2.44,10,20,1,0,3,2,0,5,0,4,1,0,0,0,0,0,0,0,palmeiras,True
Willians,Meia,cruzeiro,5,Nulo,13.72,-2.00,-3.40,2.08,7,14,0,0,0,2,0,0,0,16,13,0,3,1,0,0,0,0,cruzeiro,False
Roger,Atacante,chapecoense,4,Nulo,13.62,0.00,0.00,3.17,8,10,1,0,6,1,1,3,0,0,5,0,2,0,0,0,0,0,chapecoense,True
Madson,Lateral,vasco,7,Provável,13.60,1.42,5.50,2.65,13,19,0,0,1,1,0,1,0,5,4,0,0,0,2,0,0,0,vasco,True
Victor,Goleiro,atlético-mg,6,Provável,13.58,0.00,0.00,0.55,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,8,atlético-mg,True
Matheus Ferraz,Zagueiro,sport,7,Contundido,13.54,-0.48,0.40,3.80,5,18,0,0,1,3,1,0,0,7,9,0,2,0,3,0,0,0,sport,False
Bruno Henrique,Atacante,goiás,6,Provável,13.31,-0.23,2.60,4.73,19,17,0,0,6,8,2,2,0,7,11,0,2,1,0,0,0,0,goiás,True
Marquinhos,Atacante,cruzeiro,6,Provável,13.30,0.07,7.00,5.13,7,23,2,0,2,9,1,3,0,7,5,0,0,0,0,0,0,0,cruzeiro,False
Gerson,Meia,fluminense,7,Provável,13.28,-0.24,0.40,2.16,12,20,1,0,4,3,0,3,0,5,6,0,0,0,0,0,0,0,fluminense,False
Gabriel,Meia,palmeiras,7,Provável,13.27,-0.42,3.60,3.70,11,15,0,0,1,4,1,0,0,13,14,0,1,0,0,0,0,0,palmeiras,True
Borges,Atacante,ponte preta,5,Nulo,13.23,0.00,0.00,1.78,0,3,0,0,3,3,1,2,0,1,4,0,1,0,0,0,0,0,ponte preta,True
Ananias,Atacante,chapecoense,7,Nulo,13.12,0.33,1.90,3.81,19,17,1,0,3,1,1,0,0,8,8,0,2,0,0,0,0,0,chapecoense,True
Léo,Zagueiro,cruzeiro,1,Nulo,13.08,0.00,0.00,0.40,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,cruzeiro,False
Guto Ferreira,Técnico,ponte preta,7,Provável,13.07,0.36,4.33,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ponte preta,True
Renato Augusto,Meia,corinthians,4,Provável,13.04,1.08,5.30,2.38,8,14,0,1,4,3,0,1,0,3,5,0,1,0,0,0,0,0,corinthians,True
Thiago Heleno,Zagueiro,figueirense,1,Nulo,13.01,0.00,0.00,5.70,0,3,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,figueirense,False
Hernane,Atacante,sport,0,Nulo,13.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sport,False
Elicarlos,Meia,chapecoense,7,Provável,12.91,-0.32,0.70,3.07,14,11,0,0,0,0,1,0,0,9,7,0,1,0,0,0,0,0,chapecoense,True
Biro Biro,Atacante,ponte preta,7,Suspenso,12.89,-1.01,1.50,4.57,18,25,0,0,7,6,2,3,0,9,9,0,3,0,0,0,0,0,ponte preta,True
Kadu,Zagueiro,atlético-pr,7,Provável,12.86,-0.28,1.70,4.07,0,11,0,1,0,0,0,0,0,9,6,0,2,0,4,0,0,0,atlético-pr,False
Henrique,Meia,cruzeiro,3,Provável,12.82,0.00,0.00,6.23,6,8,0,0,2,2,1,0,0,6,3,0,1,0,0,0,0,0,cruzeiro,False
Durval,Zagueiro,sport,7,Provável,12.81,-0.76,-0.10,3.65,3,20,0,0,2,0,0,1,0,8,0,0,0,0,3,0,0,0,sport,False
Fernando Prass,Goleiro,palmeiras,7,Provável,12.79,0.93,3.70,3.64,4,4,0,0,0,0,0,0,0,1,0,0,0,0,2,9,0,7,palmeiras,True
Alex Muralha,Goleiro,figueirense,6,Nulo,12.76,-0.09,1.00,6.10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,5,figueirense,False
Camilo,Meia,chapecoense,4,Provável,12.71,-1.59,0.50,3.03,4,19,1,0,1,3,0,2,0,6,3,0,0,0,0,0,0,0,chapecoense,True
Kenedy,Atacante,fluminense,1,Contundido,12.58,0.00,0.00,2.90,3,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,fluminense,False
Alexandre Pato,Atacante,são paulo,6,Provável,12.58,-0.91,-1.50,3.77,7,16,1,0,4,1,2,1,0,1,2,0,1,0,0,0,0,0,são paulo,False
Victor Ferraz,Lateral,santos,6,Provável,12.52,0.00,0.00,3.27,2,19,1,0,1,0,0,0,0,9,4,0,0,0,1,0,0,0,santos,False
Deivid,Meia,atlético-pr,2,Contundido,12.50,0.00,0.00,3.95,5,6,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,atlético-pr,False
Alex,Meia,internacional,7,Nulo,12.46,-0.42,1.50,1.44,17,31,0,0,3,1,0,1,0,6,1,0,1,0,0,0,0,0,internacional,True
Juan Carlos Osorio,Técnico,são paulo,2,Provável,12.34,-0.40,2.35,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,são paulo,False
Carlos,Atacante,atlético-mg,5,Contundido,12.33,0.00,0.00,5.18,6,6,1,0,2,2,2,2,0,4,7,0,1,0,0,0,0,0,atlético-mg,True
Ralf,Meia,corinthians,5,Provável,12.25,0.29,1.80,1.78,2,7,0,0,1,0,0,0,0,10,8,0,2,0,0,0,0,0,corinthians,True
Felipe Macedo,Zagueiro,goiás,7,Provável,12.16,2.24,9.00,3.83,8,11,0,0,0,0,0,0,0,8,11,0,1,0,4,0,0,0,goiás,True
Enderson Moreira,Técnico,fluminense,5,Provável,12.10,-0.43,1.17,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fluminense,False
Rafael Toloi,Zagueiro,são paulo,2,Provável,12.10,0.36,7.80,3.75,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,são paulo,False
Diego Oliveira,Atacante,ponte preta,7,Provável,12.09,0.36,1.40,3.35,14,10,0,0,3,3,2,0,0,2,6,0,1,0,0,0,0,0,ponte preta,True
Patric,Lateral,atlético-mg,6,Provável,12.06,0.00,0.00,4.32,5,23,2,0,2,2,1,5,0,7,7,0,1,0,1,0,0,0,atlético-mg,True
Dedé,Zagueiro,cruzeiro,0,Contundido,12.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cruzeiro,False
Danilo,Goleiro,chapecoense,7,Provável,11.95,-0.53,-2.00,3.08,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,chapecoense,True
Thiago Ribeiro,Atacante,atlético-mg,5,Provável,11.91,0.00,0.00,3.74,1,11,0,0,4,5,2,1,0,0,3,0,0,0,0,0,0,0,atlético-mg,True
Renato,Meia,santos,4,Contundido,11.83,0.00,0.00,2.83,1,6,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,santos,False
Petros,Meia,corinthians,7,Provável,11.71,-0.08,2.30,3.14,6,11,0,0,2,0,0,0,0,14,3,0,1,0,0,0,0,0,corinthians,True
Vinícius,Meia,fluminense,7,Provável,11.68,-0.12,0.30,3.06,6,14,0,1,1,3,2,0,0,5,9,0,2,0,0,0,0,0,fluminense,False
Diego Aguirre,Técnico,internacional,7,Nulo,11.62,-0.56,2.34,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,internacional,True
Edu Dracena,Zagueiro,corinthians,7,Provável,11.55,-1.35,-0.60,3.75,1,8,0,0,0,2,0,3,0,6,4,0,0,0,4,0,0,0,corinthians,True
Réver,Zagueiro,internacional,4,Contundido,11.49,0.00,0.00,3.17,3,9,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,internacional,True
Milton Mendes,Técnico,atlético-pr,7,Provável,11.40,-0.62,1.24,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlético-pr,False
Uendel,Lateral,corinthians,1,Provável,11.39,0.00,0.00,8.40,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,corinthians,True
Jô,Atacante,atlético-mg,2,Nulo,11.32,0.00,0.00,2.80,4,3,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,atlético-mg,True
Juan,Zagueiro,internacional,2,Contundido,11.26,-0.48,0.80,1.20,1,4,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,internacional,True
Egídio,Lateral,palmeiras,7,Provável,11.25,0.46,2.90,2.92,10,38,0,0,3,1,0,1,0,13,9,0,2,0,2,0,0,0,palmeiras,True
Lisandro López,Atacante,internacional,2,Nulo,11.22,0.00,0.00,-1.75,3,4,0,1,2,1,0,4,0,0,2,0,1,1,0,0,0,0,internacional,True
Christiano ,Lateral,vasco,5,Provável,11.19,0.00,0.00,4.22,10,15,0,1,1,4,0,0,0,4,3,0,1,0,2,0,0,0,vasco,True
Gil,Meia,chapecoense,7,Provável,11.18,0.30,1.70,3.35,17,31,0,0,0,4,1,2,0,15,14,0,2,0,0,0,0,0,chapecoense,True
Eduardo Baptista,Técnico,sport,7,Provável,11.08,0.28,3.36,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sport,False
Josué,Meia,atlético-mg,2,Nulo,11.06,0.00,0.00,4.20,6,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,atlético-mg,True
Vanderlei Luxemburgo,Técnico,cruzeiro,6,Provável,11.06,-0.13,3.05,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cruzeiro,False
Anderson,Meia,internacional,6,Nulo,11.05,0.00,0.00,1.50,8,26,0,0,1,1,0,0,0,13,10,0,3,0,0,0,0,0,internacional,True
Lucas,Lateral,palmeiras,6,Provável,11.03,1.14,4.80,2.75,6,8,0,0,1,2,0,2,0,10,13,0,3,0,2,0,0,0,palmeiras,True
Jonas,Meia,flamengo,5,Suspenso,11.01,-1.32,-3.10,2.84,12,7,0,0,0,2,0,0,0,12,9,0,1,1,0,0,0,0,flamengo,False
Fábio,Goleiro,cruzeiro,6,Provável,10.97,-0.52,1.00,1.62,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,cruzeiro,False
Rafael Moura,Atacante,internacional,5,Nulo,10.88,2.15,8.90,4.38,3,2,1,1,2,4,1,1,0,1,3,0,0,0,0,0,0,0,internacional,True
Elias,Meia,corinthians,2,Nulo,10.88,0.00,0.00,0.00,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,corinthians,True
Carlinhos,Lateral,são paulo,3,Provável,10.88,0.08,5.30,6.13,7,11,0,0,2,1,0,1,0,5,5,0,0,0,2,0,0,0,são paulo,False
Erik,Atacante,goiás,3,Nulo,10.84,0.00,0.00,1.23,2,4,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,goiás,True
Vanderlei,Goleiro,santos,1,Nulo,10.84,0.00,0.00,-4.30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,santos,False
Marquinhos,Zagueiro,figueirense,6,Suspenso,10.82,1.08,3.90,3.93,4,8,1,0,1,1,2,2,0,4,7,0,3,0,1,0,0,0,figueirense,False
Felipe Menezes,Meia,goiás,6,Provável,10.79,0.84,3.40,2.75,5,24,2,0,6,2,0,0,0,4,2,0,1,0,0,0,0,0,goiás,True
Cristaldo,Atacante,palmeiras,4,Nulo,10.72,2.88,11.50,3.55,3,1,0,2,1,0,1,4,0,0,2,0,0,0,0,0,0,0,palmeiras,True
Welinton,Zagueiro,coritiba,4,Provável,10.68,0.00,0.00,5.25,9,19,0,0,0,1,0,0,0,10,1,0,0,0,1,0,0,0,coritiba,True
Roger Machado ,Técnico,grêmio,4,Provável,10.64,0.61,3.85,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grêmio,False
Fagner,Lateral,corinthians,4,Provável,10.61,-0.60,0.70,2.85,7,16,0,0,0,1,0,0,0,5,3,0,0,0,1,0,0,0,corinthians,True
Elano,Meia,santos,2,Nulo,10.57,0.00,0.00,2.85,4,3,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,santos,False
Patrick,Meia,goiás,6,Provável,10.53,0.20,2.80,5.92,16,7,0,0,1,3,0,0,0,20,11,0,1,0,0,0,0,0,goiás,True
Emerson,Atacante,flamengo,3,Provável,10.46,0.00,0.00,-0.40,2,3,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,flamengo,False
Walace,Meia,grêmio,6,Provável,10.39,0.68,6.70,3.28,7,18,0,0,2,1,0,0,0,17,8,0,3,0,0,0,0,0,grêmio,False
Marcelo Oliveira,Técnico,palmeiras,4,Provável,10.33,0.00,0.00,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,palmeiras,True
Centurión,Atacante,são paulo,3,Provável,10.30,0.00,0.00,1.17,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,são paulo,False
David Braz,Zagueiro,santos,6,Dúvida,10.25,0.00,0.00,1.60,4,36,0,0,0,3,0,1,0,9,3,0,1,0,1,0,0,0,santos,False
Sueliton,Lateral,joinville,5,Nulo,10.21,0.00,0.00,2.62,5,10,1,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,joinville,False
Felipe ,Meia,atlético-pr,4,Nulo,10.17,-0.52,1.40,1.72,2,13,0,0,1,1,1,0,0,3,6,0,1,0,0,0,0,0,atlético-pr,False
Samir ,Zagueiro,flamengo,3,Provável,10.09,0.78,8.40,7.10,4,1,0,0,0,3,0,0,0,5,2,0,0,0,2,0,0,0,flamengo,False
Cristian,Meia,corinthians,4,Contundido,10.07,0.17,2.90,2.75,2,11,0,0,2,2,0,0,0,7,4,0,0,0,0,0,0,0,corinthians,True
Lucas Lima,Meia,santos,6,Suspenso,10.02,0.00,0.00,3.70,14,33,2,0,1,1,0,0,0,12,6,0,2,0,0,0,0,0,santos,False
Renan Oliveira,Meia,avaí,4,Contundido,10.01,0.00,0.00,2.62,3,9,0,0,0,5,0,1,0,6,3,0,0,0,0,0,0,0,avaí,True
Juninho,Meia,figueirense,0,Contundido,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,figueirense,False
Júlio Baptista,Meia,cruzeiro,0,Contundido,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cruzeiro,False
Richarlyson,Meia,chapecoense,0,Contundido,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chapecoense,True
Felipe,Goleiro,figueirense,0,Nulo,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,figueirense,False
David,Meia,goiás,0,Contundido,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goiás,True
Fellype Gabriel,Meia,palmeiras,0,Nulo,10.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,palmeiras,True
Bruno Silva,Meia,chapecoense,7,Provável,9.99,0.33,2.10,2.63,5,14,0,0,2,2,1,3,0,11,9,0,2,0,0,0,0,0,chapecoense,True
Armero,Lateral,flamengo,2,Nulo,9.95,0.00,0.00,0.55,3,11,1,0,0,1,0,1,0,1,4,0,1,0,0,0,0,0,flamengo,False
